|exam_id|voto_medio|
|334    |5         |
|336    |15,2286   |
|337    |19,3846   |
|338    |22,6667   |
|341    |15,2903   |
|342    |17,5556   |
|343    |26,5      |
|346    |17,1      |
|347    |19,4444   |
|348    |19,5      |
|351    |16,4211   |
|352    |25,1667   |
|353    |4         |
|354    |15        |
|356    |17,3333   |
|357    |17,6667   |
|361    |18,7692   |
|362    |23        |
|363    |17        |
|366    |19,15     |
|367    |23,3333   |
|371    |16,6111   |
|372    |13,6667   |
|373    |23        |
|376    |16,75     |
|377    |21        |
|378    |19        |
|379    |6         |
|381    |17,6818   |
|382    |14,4286   |
|383    |23,5      |
|384    |19        |
|386    |18,6897   |
|387    |19        |
|388    |16        |
|389    |15        |
|391    |20,4091   |
|392    |17,3333   |
|393    |16        |
|396    |15,7692   |
|397    |19,8      |
|398    |14        |
|399    |8         |
|400    |13        |
|401    |16,2941   |
|402    |18,4      |
|406    |20,5556   |
|407    |24        |
|411    |21,2      |
|412    |7,3333    |
|413    |18        |
|416    |21,2308   |
|417    |17,25     |
|418    |20        |
|421    |18,4545   |
|422    |18,7143   |
|423    |18        |
|426    |15,5625   |
|427    |17,5455   |
|428    |8         |
|429    |14        |
|431    |18,6061   |
|432    |7,2       |
|433    |22        |
|436    |18,3      |
|437    |11,8571   |
|438    |21        |
|439    |13        |
|441    |21,4643   |
|442    |14,3333   |
|443    |32        |
|446    |20,9032   |
|447    |20,8333   |
|448    |25        |
|451    |16,5926   |
|452    |17        |
|453    |19        |
|456    |20,5758   |
|457    |17,3333   |
|461    |17,7714   |
|462    |14,3636   |
|463    |15,1667   |
|464    |18,3333   |
|466    |20,625    |
|467    |30        |
|471    |19,7368   |
|472    |18,5      |
|473    |23        |
|476    |18,9333   |
|477    |15,4      |
|478    |25,6667   |
|481    |19,6667   |
|482    |21,25     |
|486    |22,0526   |
|487    |20,5      |
|488    |16        |
|489    |22        |
|491    |18,2759   |
|492    |13        |
|493    |31        |
|496    |19,7879   |
|497    |16,8      |
|498    |7         |
|499    |15        |
|500    |31        |
|501    |17        |
|502    |19,8182   |
|503    |24        |
|504    |20        |
|506    |17,3939   |
|507    |15,2857   |
|511    |15,9722   |
|512    |14,3636   |
|513    |16,25     |
|514    |8         |
|515    |33        |
|516    |16,8889   |
|517    |15,4      |
|521    |18,6      |
|522    |14,8      |
|523    |20        |
|526    |15,3529   |
|527    |22        |
|528    |30        |
|531    |17,875    |
|532    |24,25     |
|536    |17,4118   |
|537    |16,8333   |
|541    |17,4583   |
|542    |12,375    |
|543    |16,4      |
|544    |25        |
|546    |17,9167   |
|547    |15,6667   |
|548    |25,5      |
|551    |18,0606   |
|552    |18,6667   |
|553    |28        |
|556    |17,0263   |
|557    |21,6364   |
|558    |26,5      |
|561    |20,4412   |
|562    |11,6667   |
|563    |17        |
|564    |8         |
|566    |18,4103   |
|567    |15,5      |
|568    |14,6667   |
|569    |27        |
|571    |17,125    |
|572    |17,25     |
|573    |11,3333   |
|574    |7         |
|576    |17,3636   |
|577    |23,2      |
|578    |10        |
|579    |32        |
|581    |16,7727   |
|582    |18,7143   |
|586    |17,28     |
|587    |13,4286   |
|588    |24,6667   |
|591    |15,56     |
|592    |12,2      |
|593    |18        |
|594    |9         |
|596    |17,6111   |
|597    |19,3333   |
|598    |6,5       |
|599    |7         |
|600    |4         |
|601    |16,875    |
|602    |19,2222   |
|603    |18,8      |
|606    |16,1667   |
|607    |13,7778   |
|608    |16        |
|611    |15,913    |
|612    |15,6      |
|613    |21,3333   |
|616    |19,2121   |
|617    |22,5      |
|618    |5         |
|619    |25        |
|621    |16,2647   |
|622    |17,3333   |
|623    |15,5      |
|624    |6         |
|626    |19,5122   |
|627    |17,5      |
|628    |14,5      |
|629    |27        |
|631    |19,9524   |
|632    |11,125    |
|633    |20,6      |
|634    |19,5      |
|635    |18        |
|636    |17,6667   |
|637    |18,625    |
|638    |20,5      |
|641    |16,3158   |
|642    |16,9      |
|643    |27,25     |
|646    |15,7778   |
|647    |15,4545   |
|648    |16        |
|649    |20        |
|651    |14,1111   |
|652    |15,3333   |
|653    |5         |
|654    |7         |
|656    |18,3636   |
|657    |16,3333   |
|661    |19,9474   |
|662    |15,5      |
|666    |15,9545   |
|667    |21,875    |
|668    |20        |
|671    |17,3462   |
|672    |20,5      |
|676    |20,88     |
|677    |21,5714   |
|681    |16,5714   |
|682    |19,5      |
|683    |22        |
|686    |14,5217   |
|687    |20,3333   |
|688    |17,5      |
|689    |3         |
|690    |26        |
|691    |15,8158   |
|692    |10,9      |
|693    |16,75     |
|694    |8         |
|696    |19        |
|697    |20,2222   |
|698    |26        |
|701    |18,825    |
|702    |16        |
|703    |17        |
|704    |13        |
|705    |16        |
|706    |18,5116   |
|707    |24,5556   |
|711    |20,641    |
|712    |14,6667   |
|713    |28        |
|716    |18,6563   |
|717    |22,4      |
|718    |3         |
|719    |27        |
|721    |17,2439   |
|722    |20,0833   |
|723    |27        |
|726    |16,3478   |
|727    |15,75     |
|728    |21,5      |
|731    |16,8261   |
|732    |27,6667   |
|736    |16,0909   |
|737    |20,7143   |
|741    |16,7857   |
|742    |16        |
|743    |31        |
|746    |17,037    |
|747    |20,3333   |
|748    |11        |
|749    |21        |
|751    |19,75     |
|752    |21,6      |
|753    |8         |
|756    |17,8387   |
|757    |16,1667   |
|758    |27,5      |
|761    |15,6774   |
|762    |20,2857   |
|763    |21        |
|766    |17,5278   |
|767    |16,2      |
|768    |25,5      |
|771    |15,2      |
|772    |15,2857   |
|773    |8,6667    |
|774    |19,5      |
|776    |17,8889   |
|777    |19,2857   |
|778    |16        |
|781    |18,4063   |
|782    |21,25     |
|783    |25,6667   |
|784    |5         |
|785    |31        |
|786    |16,0606   |
|787    |21        |
|788    |12,5      |
|789    |9         |
|791    |20,1111   |
|792    |12,6667   |
|793    |13        |
|794    |11        |
|795    |23        |
|796    |17,6053   |
|797    |23        |
|798    |15,5      |
|801    |19,1579   |
|802    |17,8      |
|803    |21        |
|806    |17,48     |
|807    |16        |
|808    |7         |
|811    |17        |
|812    |17,4      |
|813    |6         |
|814    |26        |
|816    |17,087    |
|817    |13,5      |
|818    |18,5      |
|821    |19        |
|822    |20,4      |
|823    |8,5       |
|826    |18,35     |
|827    |8,6667    |
|828    |24        |
|829    |4         |
|830    |29        |
|831    |12,2143   |
|832    |13,5      |
|833    |16        |
|836    |19,6667   |
|837    |26,8      |
|841    |20        |
|842    |27        |
|846    |20,0882   |
|847    |20        |
|851    |20,1282   |
|852    |13,8      |
|853    |27        |
|856    |20,9143   |
|857    |20,3333   |
|858    |9         |
|861    |16,9722   |
|862    |21,9      |
|863    |24        |
|866    |21,2424   |
|867    |16,1429   |
|868    |27,25     |
|871    |17,1818   |
|872    |19        |
|873    |11,75     |
|874    |6         |
|875    |30        |
|876    |18,1765   |
|877    |13,5      |
|878    |28        |
|881    |17,0833   |
|882    |16,25     |
|886    |15,6667   |
|887    |17        |
|888    |25        |
|891    |19,9      |
|892    |17        |
|893    |16,5      |
|896    |15,24     |
|897    |15,3      |
|898    |13,2      |
|899    |7         |
|901    |21,8      |
|902    |17,3333   |
|906    |18,6429   |
|907    |8         |
|908    |22        |
|911    |15,5333   |
|912    |21        |
|913    |4         |
|916    |18,8462   |
|917    |27        |
|921    |20,125    |
|922    |22,5      |
|926    |16,0714   |
|927    |16,4      |
|928    |4         |
|931    |19,5238   |
|932    |17        |
|933    |19        |
|936    |17,36     |
|937    |16,8571   |
|941    |19,0357   |
|942    |17,5      |
|943    |17        |
|944    |13        |
|945    |27        |
|946    |19,0714   |
|947    |16,8889   |
|948    |16,3333   |
|949    |26        |
|951    |21,6      |
|952    |16,5      |
|953    |33        |
|956    |19        |
|957    |17,6      |
|958    |20        |
|961    |17,6333   |
|962    |22,8      |
|963    |22        |
|966    |19,303    |
|967    |15,375    |
|968    |27        |
|971    |18,1875   |
|972    |17        |
|973    |11        |
|974    |11        |
|975    |15        |
|976    |20,4      |
|977    |19,3333   |
|981    |16,7619   |
|982    |18,75     |
|983    |33        |
|986    |18,8824   |
|987    |19,3333   |
|988    |21        |
|991    |12,5625   |
|992    |14,3333   |
|993    |19        |
|996    |14,4286   |
|997    |13,7778   |
|998    |18        |
|999    |15        |
|1.000  |10        |
|1.001  |15,6471   |
|1.002  |23,75     |
|1.006  |15,7692   |
|1.007  |12        |
|1.008  |11,5      |
|1.009  |12        |
|1.010  |9         |
|1.011  |23,4167   |
|1.012  |18,5      |
|1.016  |15,5      |
|1.017  |13,3333   |
|1.018  |23        |
|1.021  |17,5      |
|1.022  |18        |
|1.023  |9         |
|1.026  |16,1429   |
|1.027  |23,5      |
|1.031  |15,1      |
|1.032  |16        |
|1.033  |31        |
|1.036  |16,2222   |
|1.037  |18,3333   |
|1.041  |17,3333   |
|1.042  |16,5      |
|1.043  |32        |
|1.046  |17,4167   |
|1.047  |15,1538   |
|1.048  |20,5      |
|1.049  |12,5      |
|1.051  |17,6774   |
|1.052  |16,8889   |
|1.053  |29        |
|1.056  |17,8065   |
|1.057  |18,875    |
|1.058  |3         |
|1.059  |21        |
|1.061  |17,56     |
|1.062  |17,5      |
|1.063  |33        |
|1.066  |21,9091   |
|1.067  |13,5      |
|1.071  |19,6667   |
|1.072  |26,6667   |
|1.076  |15,4545   |
|1.077  |15,75     |
|1.078  |21        |
|1.081  |22,8947   |
|1.082  |17        |
|1.086  |18,5789   |
|1.087  |21,4      |
|1.091  |17,6522   |
|1.092  |16,8      |
|1.093  |22        |
|1.096  |17,6364   |
|1.097  |25,1667   |
|1.101  |19,9565   |
|1.102  |15,8333   |
|1.103  |20,5      |
|1.106  |17        |
|1.107  |20,9      |
|1.108  |13        |
|1.109  |25        |
|1.111  |18,1111   |
|1.112  |16,125    |
|1.113  |12        |
|1.114  |11        |
|1.116  |18,36     |
|1.117  |20,7143   |
|1.118  |13        |
|1.119  |11        |
|1.120  |15        |
|1.121  |20,8235   |
|1.122  |11,6667   |
|1.126  |19,5333   |
|1.127  |14,4      |
|1.128  |14,5      |
|1.129  |28        |
|1.131  |17,25     |
|1.132  |15        |
|1.133  |5         |
|1.136  |20,6111   |
|1.137  |20,8      |
|1.141  |12,6      |
|1.142  |22,5556   |
|1.143  |10,6667   |
|1.144  |16        |
|1.146  |18,8235   |
|1.147  |20        |
|1.148  |9         |
|1.151  |14,05     |
|1.152  |18,5      |
|1.153  |10        |
|1.154  |31        |
|1.156  |20,4444   |
|1.157  |20,5      |
|1.161  |17,5556   |
|1.162  |20,6667   |
|1.163  |26        |
|1.166  |17,8421   |
|1.167  |23,6667   |
|1.171  |19,8333   |
|1.172  |16,25     |
|1.173  |22        |
|1.176  |17        |
|1.177  |17,5      |
|1.178  |13        |
|1.179  |9         |
|1.181  |18,4583   |
|1.182  |20,25     |
|1.186  |14,8462   |
|1.187  |13,5      |
|1.188  |11        |
|1.191  |18,1429   |
|1.192  |18,6667   |
|1.193  |18        |
|1.196  |17,1333   |
|1.197  |22,75     |
|1.198  |28        |
|1.201  |16,5833   |
|1.202  |16        |
|1.206  |14,1818   |
|1.207  |18,25     |
|1.211  |21,6471   |
|1.212  |21,75     |
|1.216  |23,6154   |
|1.217  |20        |
|1.221  |15,6522   |
|1.222  |9,8889    |
|1.223  |23,75     |
|1.226  |16,8      |
|1.227  |14,2857   |
|1.228  |20,6667   |
|1.231  |14,2941   |
|1.232  |17,3333   |
|1.233  |25,6667   |
|1.236  |21,2778   |
|1.237  |19,5      |
|1.241  |23,5      |
|1.246  |16,4286   |
|1.247  |13,6667   |
|1.248  |23,5      |
|1.251  |17,9      |
|1.252  |15,4      |
|1.253  |18        |
|1.256  |16,5      |
|1.257  |28        |
|1.261  |18,5455   |
|1.262  |11,3333   |
|1.263  |15        |
|1.264  |31        |
|1.266  |16        |
|1.267  |14        |
|1.268  |8         |
|1.271  |13,8571   |
|1.272  |13        |
|1.273  |19        |
|1.276  |21,4286   |
|1.277  |19,3333   |
|1.281  |17,5472   |
|1.282  |20,3571   |
|1.283  |25        |
|1.286  |19,5417   |
|1.287  |14,1      |
|1.288  |20,4      |
|1.289  |20        |
|1.291  |18,8039   |
|1.292  |15,6      |
|1.293  |19        |
|1.296  |16,25     |
|1.297  |17,4118   |
|1.298  |15,1667   |
|1.299  |9,6667    |
|1.300  |29        |
|1.301  |15,2653   |
|1.302  |19,3529   |
|1.303  |19,6      |
|1.304  |14        |
|1.306  |18        |
|1.307  |20,3      |
|1.311  |18,3095   |
|1.312  |13,7      |
|1.313  |14        |
|1.314  |13        |
|1.315  |21        |
|1.316  |16,5385   |
|1.317  |22,2222   |
|1.318  |14        |
|1.321  |17,8621   |
|1.322  |13,6      |
|1.323  |15        |
|1.326  |17,871    |
|1.327  |17        |
|1.331  |17,5652   |
|1.332  |17,2857   |
|1.333  |15,6667   |
|1.334  |8         |
|1.336  |16,5667   |
|1.337  |18        |
|1.338  |19        |
|1.341  |15,8621   |
|1.342  |20        |
|1.346  |16,8621   |
|1.347  |18,1429   |
|1.348  |14,3333   |
|1.349  |15        |
|1.351  |15,4667   |
|1.352  |19,6667   |
|1.353  |5         |
|1.354  |8         |
|1.356  |17,8333   |
|1.357  |21,5      |
|1.358  |16        |
|1.361  |20,2857   |
|1.362  |18        |
|1.363  |18        |
|1.366  |20,9333   |
|1.367  |21        |
|1.371  |18,6667   |
|1.372  |11,3333   |
|1.373  |10        |
|1.376  |17,9286   |
|1.377  |16,5      |
|1.378  |21        |
|1.379  |16        |
|1.380  |6         |
|1.381  |18,8125   |
|1.382  |15,5      |
|1.383  |14        |
|1.384  |30        |
|1.386  |15,9394   |
|1.387  |25,1667   |
|1.391  |16,6757   |
|1.392  |20,0909   |
|1.393  |17,5      |
|1.394  |11        |
|1.396  |16,4375   |
|1.397  |17,6      |
|1.398  |23,6667   |
|1.401  |16,9      |
|1.402  |20,75     |
|1.403  |25,3333   |
|1.406  |18,0303   |
|1.407  |22,875    |
|1.408  |28        |
|1.411  |17,1111   |
|1.412  |18,5714   |
|1.413  |11        |
|1.416  |18,4706   |
|1.417  |14        |
|1.418  |9         |
|1.419  |18        |
|1.421  |18,5714   |
|1.422  |14,8      |
|1.423  |28,5      |
|1.426  |18,875    |
|1.427  |16,8571   |
|1.428  |18        |
|1.431  |19,6316   |
|1.432  |22,6      |
|1.433  |16,5      |
|1.434  |13        |
|1.435  |33        |
|1.436  |21,2609   |
|1.437  |19        |
|1.441  |15,4211   |
|1.442  |19,5      |
|1.443  |29        |
|1.446  |17,4762   |
|1.447  |20,6667   |
|1.451  |14,7273   |
|1.452  |15,3333   |
|1.453  |24        |
|1.456  |18,125    |
|1.457  |15,8333   |
|1.458  |12        |
|1.459  |29        |
|1.461  |16,68     |
|1.462  |13,375    |
|1.463  |18,3333   |
|1.466  |17,3571   |
|1.467  |20        |
|1.468  |31        |
|1.471  |22,5      |
|1.472  |16,6667   |
|1.476  |17,2222   |
|1.477  |30        |
|1.481  |17,5833   |
|1.482  |22        |
|1.483  |18        |
|1.486  |11,3      |
|1.487  |14,2      |
|1.488  |31        |
|1.491  |16,4857   |
|1.492  |23        |
|1.493  |8         |
|1.494  |21        |
|1.496  |16,9737   |
|1.497  |17,5833   |
|1.498  |26        |
|1.501  |17,75     |
|1.502  |16,5556   |
|1.503  |18,6667   |
|1.504  |20        |
|1.506  |16,125    |
|1.507  |16        |
|1.511  |21,2222   |
|1.512  |25        |
|1.516  |16,7027   |
|1.517  |19,2      |
|1.521  |21,4857   |
|1.522  |20,6667   |
|1.523  |27        |
|1.526  |17,8378   |
|1.527  |21,7143   |
|1.531  |17,6333   |
|1.532  |17,375    |
|1.533  |20,3333   |
|1.536  |20,6364   |
|1.537  |23,5      |
|1.538  |3         |
|1.539  |27        |
|1.541  |20,0345   |
|1.542  |12,8      |
|1.543  |27,5      |
|1.546  |16,6296   |
|1.547  |15,4286   |
|1.548  |18,5      |
|1.549  |29        |
|1.551  |18,4643   |
|1.552  |17,5      |
|1.553  |26        |
|1.556  |18,6667   |
|1.557  |9         |
|1.558  |27        |
|1.561  |16,3571   |
|1.562  |21,125    |
|1.563  |18        |
|1.566  |16,3478   |
|1.567  |21,2      |
|1.571  |19        |
|1.572  |14,5      |
|1.573  |23        |
|1.576  |19,6471   |
|1.577  |19,4286   |
|1.578  |27        |
|1.581  |18,3023   |
|1.582  |17,25     |
|1.583  |12,5      |
|1.586  |20,3429   |
|1.587  |19,3333   |
|1.588  |21        |
|1.589  |24        |
|1.591  |18,8      |
|1.592  |21        |
|1.596  |19,6486   |
|1.597  |19,4545   |
|1.598  |29        |
|1.601  |16,4242   |
|1.602  |13,9286   |
|1.603  |26,1667   |
|1.606  |18,7949   |
|1.607  |16        |
|1.608  |20,6667   |
|1.609  |13        |
|1.611  |17,5641   |
|1.612  |20,5      |
|1.613  |27,5      |
|1.616  |17,4375   |
|1.617  |18,2222   |
|1.621  |23,0357   |
|1.622  |31        |
|1.626  |19,5625   |
|1.627  |16,6      |
|1.628  |20        |
|1.631  |17,7813   |
|1.632  |14,5      |
|1.633  |8         |
|1.634  |4         |
|1.636  |17,7429   |
|1.637  |15,2857   |
|1.638  |21,75     |
|1.639  |31        |
|1.641  |15,8182   |
|1.642  |18,5385   |
|1.643  |9,75      |
|1.644  |10,5      |
|1.645  |17        |
|1.646  |19,4815   |
|1.647  |15        |
|1.648  |12,5      |
|1.649  |28        |
|1.651  |17,8276   |
|1.652  |16        |
|1.653  |20        |
|1.656  |17,0435   |
|1.657  |19,1667   |
|1.658  |16        |
|1.661  |19,6667   |
|1.662  |15        |
|1.666  |14,8824   |
|1.667  |12        |
|1.668  |17        |
|1.669  |30        |
|1.671  |20,0769   |
|1.672  |10,6667   |
|1.673  |24        |
|1.676  |23,8889   |
|1.681  |14,4706   |
|1.682  |18,8571   |
|1.683  |20        |
|1.684  |13        |
|1.685  |3         |
|1.686  |18,6111   |
|1.687  |20,75     |
|1.688  |25        |
|1.691  |18,125    |
|1.692  |17        |
|1.693  |9         |
|1.694  |20,5      |
|1.696  |19,9167   |
|1.697  |18,875    |
|1.698  |8         |
|1.699  |21,5      |
|1.701  |17        |
|1.702  |20,3333   |
|1.703  |8         |
|1.704  |20        |
|1.706  |16,3784   |
|1.707  |23        |
|1.711  |17,7097   |
|1.712  |15,75     |
|1.713  |15,5      |
|1.714  |31        |
|1.716  |15,9048   |
|1.717  |20        |
|1.718  |25        |
|1.721  |17,2308   |
|1.722  |24,3333   |
|1.726  |17,8276   |
|1.727  |16,8333   |
|1.731  |19,2593   |
|1.732  |18,375    |
|1.736  |19,84     |
|1.737  |6,8       |
|1.738  |28        |
|1.741  |19,2273   |
|1.742  |13,6      |
|1.743  |27        |
|1.746  |18,16     |
|1.747  |18,6667   |
|1.748  |16        |
|1.751  |18        |
|1.752  |19,875    |
|1.753  |12,6667   |
|1.754  |6         |
|1.755  |23        |
|1.756  |21        |
|1.757  |13        |
|1.758  |18        |
|1.761  |13,25     |
|1.762  |16        |
|1.763  |33        |
|1.766  |14,8889   |
|1.767  |16        |
|1.768  |14        |
|1.769  |25        |
|1.771  |19,0769   |
|1.772  |17        |
|1.776  |20,125    |
|1.777  |15,6667   |
|1.778  |20        |
|1.781  |17,4444   |
|1.782  |12        |
|1.786  |17,8333   |
|1.787  |24        |
|1.791  |15,5926   |
|1.792  |26        |
|1.793  |10        |
|1.794  |7         |
|1.796  |14,8065   |
|1.797  |16,8889   |
|1.798  |13        |
|1.801  |19,5588   |
|1.802  |14,1      |
|1.803  |11,5      |
|1.804  |20,5      |
|1.806  |18        |
|1.807  |14,2727   |
|1.808  |15        |
|1.809  |25,5      |
|1.811  |16,5135   |
|1.812  |18        |
|1.816  |18,05     |
|1.817  |20,6667   |
|1.818  |4         |
|1.819  |10        |
|1.821  |16,4667   |
|1.822  |16,1429   |
|1.823  |17,6667   |
|1.826  |15,8824   |
|1.827  |12,4167   |
|1.828  |20,4      |
|1.831  |17,9      |
|1.832  |19,5      |
|1.833  |8         |
|1.836  |18,4      |
|1.837  |16,5714   |
|1.838  |18        |
|1.841  |17,75     |
|1.842  |10,5      |
|1.843  |6         |
|1.844  |17        |
|1.846  |16,5185   |
|1.847  |15,5      |
|1.848  |22        |
|1.849  |21        |
|1.851  |19,1905   |
|1.852  |19        |
|1.853  |31        |
|1.856  |15,8      |
|1.857  |18,25     |
|1.858  |23        |
|1.861  |20,3077   |
|1.862  |17,3333   |
|1.866  |20,3636   |
|1.867  |20,5      |
|1.868  |30        |
|1.871  |16,0909   |
|1.872  |13        |
|1.873  |7         |
|1.876  |19,0714   |
|1.877  |24,25     |
|1.881  |16,6667   |
|1.882  |8         |
|1.883  |24        |
|1.886  |18        |
|1.887  |8,2       |
|1.888  |14,5      |
|1.891  |14,9756   |
|1.892  |22        |
|1.893  |16        |
|1.894  |31        |
|1.896  |19,6129   |
|1.897  |13,75     |
|1.898  |17        |
|1.899  |23        |
|1.901  |19,5714   |
|1.902  |12,7143   |
|1.903  |13        |
|1.906  |15,6765   |
|1.907  |19        |
|1.908  |3         |
|1.911  |18,2      |
|1.912  |13,6      |
|1.913  |22        |
|1.916  |20,5313   |
|1.917  |19,1429   |
|1.918  |5         |
|1.921  |17,9      |
|1.922  |14,7143   |
|1.923  |18,8      |
|1.926  |18,125    |
|1.927  |17,25     |
|1.928  |17,5      |
|1.931  |18,913    |
|1.932  |17,25     |
|1.936  |21,2105   |
|1.937  |18,5      |
|1.938  |11        |
|1.939  |15        |
|1.940  |25        |
|1.941  |18,08     |
|1.942  |20        |
|1.946  |18,7308   |
|1.947  |18        |
|1.948  |16        |
|1.951  |20,7368   |
|1.952  |17,8      |
|1.953  |12        |
|1.954  |9         |
|1.955  |30        |
|1.956  |19,3333   |
|1.957  |12        |
|1.961  |21        |
|1.962  |23        |
|1.966  |14,3333   |
|1.967  |15        |
|1.968  |16,5      |
|1.969  |28        |
|1.971  |18,4167   |
|1.972  |11,5      |
|1.973  |25        |
|1.976  |18,1538   |
|1.977  |11,3333   |
|1.978  |23        |
|1.981  |16,2143   |
|1.982  |17,1429   |
|1.983  |10,75     |
|1.984  |15,6667   |
|1.985  |15        |
|1.986  |11,6667   |
|1.987  |17        |
|1.988  |17,6667   |
|1.989  |19,5      |
|1.990  |32        |
|1.991  |19,4545   |
|1.992  |22,25     |
|1.996  |18        |
|1.997  |12,25     |
|1.998  |28        |
|2.001  |17,1739   |
|2.002  |20        |
|2.003  |28        |
|2.006  |21,52     |
|2.007  |11,6      |
|2.008  |15,6667   |
|2.011  |16,6552   |
|2.012  |15,5      |
|2.013  |15,5      |
|2.016  |15,3333   |
|2.017  |14,8      |
|2.018  |8         |
|2.019  |19        |
|2.021  |16,6897   |
|2.022  |18,25     |
|2.023  |21        |
|2.026  |21,1852   |
|2.027  |22,75     |
|2.031  |17,0526   |
|2.032  |19,7143   |
|2.033  |27        |
|2.036  |18,2353   |
|2.037  |21,3333   |
|2.041  |17,6667   |
|2.042  |22,75     |
|2.046  |18,3846   |
|2.047  |14,25     |
|2.048  |33        |
|2.051  |19,6      |
|2.052  |15,3333   |
|2.053  |18,75     |
|2.054  |24,5      |
|2.056  |15,0588   |
|2.057  |17,3636   |
|2.058  |7         |
|2.061  |18,4286   |
|2.062  |13,5      |
|2.063  |17        |
|2.064  |18        |
|2.066  |19,7407   |
|2.067  |18,75     |
|2.068  |15,5      |
|2.069  |21        |
|2.071  |16,9412   |
|2.072  |20        |
|2.073  |26        |
|2.076  |15,9512   |
|2.077  |18,2308   |
|2.078  |16,6      |
|2.079  |8         |
|2.080  |33        |
|2.081  |17,7391   |
|2.082  |19        |
|2.083  |17        |
|2.086  |14,5185   |
|2.087  |17,8      |
|2.088  |11        |
|2.091  |15,9333   |
|2.092  |17,75     |
|2.096  |17,7778   |
